SlNo,imei,InfoType,Date Time,,F,Time,Validity,Latitude,Lat Direction,Longitude,Lng Direction,Speed,Course,Elevation,Acc,Battery,GSM,Version
26,imei:865609029330026,tracker,18-01-2023 5.12,,F,51218,A,1255.5513,N,7739.8831,E,1.1,82,0,1,94,76,F1.7.2;
27,imei:865609029330026,tracker,18-01-2023 5.12,,F,51230,A,1255.551,N,7739.8843,E,0.2,134,0,1,94,80,F1.7.2;
28,imei:865609029330026,tracker,18-01-2023 5.12,,F,51231,A,1255.5505,N,7739.8842,E,0.4,185,0,1,94,60,F1.7.2;
29,imei:865609029330026,tracker,18-01-2023 5.12,,F,51240,A,1255.5494,N,7739.884,E,0.4,221,0,1,94,60,F1.7.2;
30,imei:865609029330026,tracker,18-01-2023 5.12,,F,51243,A,1255.5491,N,7739.8839,E,0.5,185,0,1,94,60,F1.7.2;
31,imei:865609029330026,tracker,18-01-2023 5.13,,F,51312,A,1255.5453,N,7739.8795,E,0.4,291,0,1,94,50,F1.7.2;
32,imei:865609029330026,tracker,18-01-2023 5.13,,F,51316,A,1255.5456,N,7739.8792,E,0.3,346,0,1,94,50,F1.7.2;
33,imei:865609029330026,tracker,18-01-2023 5.13,,F,51321,A,1255.5459,N,7739.8792,E,0.2,312,0,1,94,50,F1.7.2;
34,imei:865609029330026,tracker,18-01-2023 5.13,,F,51322,A,1255.5459,N,7739.8792,E,0.2,247,0,1,94,63,F1.7.2;
35,imei:865609029330026,tracker,18-01-2023 5.13,,F,51325,A,1255.5458,N,7739.8792,E,0,288,0,1,91,63,F1.7.2;
36,imei:865609029330026,tracker,18-01-2023 5.13,,F,51326,A,1255.5458,N,7739.8791,E,0.2,34,0,1,91,63,F1.7.2;
37,imei:865609029330026,tracker,18-01-2023 5.13,,F,51330,A,1255.5459,N,7739.8792,E,0.1,130,0,1,91,63,F1.7.2;
38,imei:865609029330026,tracker,18-01-2023 5.13,,F,51332,A,1255.5388,N,7739.8796,E,0.1,60,0,1,94,63,F1.7.2;
39,imei:865609029330026,tracker,18-01-2023 5.13,,F,51333,A,1255.5393,N,7739.8795,E,0.8,330,0,1,94,63,F1.7.2;
40,imei:865609029330026,tracker,18-01-2023 5.13,,F,51341,A,1255.541,N,7739.8812,E,0.5,294,0,1,94,63,F1.7.2;
41,imei:865609029330026,tracker,18-01-2023 5.13,,F,51343,A,1255.5418,N,7739.8805,E,0.6,327,0,1,94,63,F1.7.2;
42,imei:865609029330026,tracker,18-01-2023 5.13,,F,51346,A,1255.542,N,7739.8804,E,0.6,296,0,1,91,63,F1.7.2;
43,imei:865609029330026,tracker,18-01-2023 5.13,,F,51348,A,1255.5421,N,7739.8802,E,0.2,249,0,1,94,63,F1.7.2;
44,imei:865609029330026,tracker,18-01-2023 5.13,,F,51349,A,1255.5421,N,7739.8802,E,0.2,190,0,1,94,63,F1.7.2;
45,imei:865609029330026,tracker,18-01-2023 5.13,,F,51353,A,1255.542,N,7739.8801,E,0.1,302,0,1,91,63,F1.7.2;
46,imei:865609029330026,tracker,18-01-2023 5.13,,F,51354,A,1255.542,N,7739.8801,E,0.1,69,0,1,91,63,F1.7.2;
47,imei:865609029330026,tracker,18-01-2023 5.13,,F,51355,A,1255.542,N,7739.8801,E,0.5,144,0,1,91,63,F1.7.2;
48,imei:865609029330026,tracker,18-01-2023 5.14,,F,51403,A,1255.5429,N,7739.8795,E,0.5,29,0,1,91,63,F1.7.2;
49,imei:865609029330026,tracker,18-01-2023 5.14,,F,51405,A,1255.5431,N,7739.8796,E,0.2,159,0,1,94,63,F1.7.2;
50,imei:865609029330026,tracker,18-01-2023 5.14,,F,51408,A,1255.5429,N,7739.8796,E,0,56,0,1,91,63,F1.7.2;
51,imei:865609029330026,sleep,18-01-2023 5.14,,F,51411,A,1255.5429,N,7739.8796,E,0,56,0,0,91,60,F1.7.2;
52,imei:865609029330026,tracker,00/00/00 00:00,,F,51509,V,1255.5429,N,7739.8796,E,0,56,0,1,91,60,F1.7.2;
53,imei:865609029330026,tracker,00/00/00 00:00,,F,51551,V,1255.5429,N,7739.8796,E,0,56,0,1,94,50,F1.7.2;
54,imei:865609029330026,tracker,18-01-2023 5.16,,F,51633,A,1255.5771,N,7739.9318,E,8.7,94,0,1,94,33,F1.7.2;
55,imei:865609029330026,tracker,18-01-2023 5.16,,F,51636,A,1255.5725,N,7739.939,E,7.7,129,0,1,91,56,F1.7.2;
56,imei:865609029330026,tracker,18-01-2023 5.16,,F,51638,A,1255.551,N,7739.9379,E,13.9,164,0,1,91,56,F1.7.2;
57,imei:865609029330026,tracker,18-01-2023 5.17,,F,51726,A,1255.3867,N,7739.921,E,9.9,190,0,1,91,100,F1.7.2;
58,imei:865609029330026,tracker,18-01-2023 5.17,,F,51731,A,1255.3815,N,7739.92,E,10.3,229,0,1,91,96,F1.7.2;
59,imei:865609029330026,tracker,18-01-2023 5.17,,F,51734,A,1255.3797,N,7739.9166,E,8.7,261,0,1,91,96,F1.7.2;
60,imei:865609029330026,tracker,18-01-2023 5.17,,F,51736,A,1255.3803,N,7739.9139,E,10.5,294,0,1,91,93,F1.7.2;
61,imei:865609029330026,tracker,18-01-2023 5.17,,F,51752,A,1255.3892,N,7739.865,E,28.2,264,0,1,91,93,F1.7.2;
62,imei:865609029330026,tracker,18-01-2023 5.18,,F,51841,A,1255.3851,N,7739.7835,E,0.9,251,0,1,91,100,F1.7.2;
63,imei:865609029330026,tracker,18-01-2023 5.18,,F,51843,A,1255.3853,N,7739.7832,E,0.7,289,0,1,91,100,F1.7.2;
64,imei:865609029330026,tracker,18-01-2023 5.18,,F,51853,A,1255.3841,N,7739.79,E,0.7,204,0,1,91,100,F1.7.2;
65,imei:865609029330026,tracker,18-01-2023 5.18,,F,51854,A,1255.384,N,7739.7897,E,0.4,248,0,1,91,100,F1.7.2;
66,imei:865609029330026,tracker,18-01-2023 5.18,,F,51859,A,1255.3903,N,7739.7853,E,1.2,198,0,1,91,93,F1.7.2;
67,imei:865609029330026,tracker,18-01-2023 5.19,,F,51903,A,1255.3873,N,7739.7874,E,0.2,230,0,1,91,93,F1.7.2;
68,imei:865609029330026,tracker,18-01-2023 5.19,,F,51904,A,1255.3878,N,7739.7882,E,1,263,0,1,91,93,F1.7.2;
69,imei:865609029330026,tracker,18-01-2023 5.19,,F,51905,A,1255.3883,N,7739.7882,E,0.7,326,0,1,91,93,F1.7.2;
70,imei:865609029330026,tracker,18-01-2023 5.19,,F,51907,A,1255.3895,N,7739.7887,E,2.3,87,0,1,91,93,F1.7.2;
71,imei:865609029330026,tracker,18-01-2023 5.19,,F,51914,A,1255.3867,N,7739.7862,E,1.2,180,0,1,91,100,F1.7.2;
72,imei:865609029330026,tracker,18-01-2023 5.19,,F,51915,A,1255.3868,N,7739.7863,E,0.3,80,0,1,91,100,F1.7.2;
73,imei:865609029330026,tracker,18-01-2023 5.19,,F,51916,A,1255.3867,N,7739.786,E,0.4,248,0,1,91,100,F1.7.2;
74,imei:865609029330026,tracker,18-01-2023 5.19,,F,51918,A,1255.3865,N,7739.7852,E,0.6,302,0,1,91,100,F1.7.2;
75,imei:865609029330026,tracker,18-01-2023 5.19,,F,51920,A,1255.3867,N,7739.7852,E,0.2,252,0,1,91,100,F1.7.2;
76,imei:865609029330026,tracker,18-01-2023 5.19,,F,51932,A,1255.3838,N,7739.7796,E,4.3,221,0,1,91,100,F1.7.2;
77,imei:865609029330026,tracker,18-01-2023 5.19,,F,51934,A,1255.3816,N,7739.7798,E,6.9,176,0,1,91,100,F1.7.2;
78,imei:865609029330026,tracker,18-01-2023 5.20,,F,52022,A,1255.2799,N,7739.7705,E,5.6,174,0,1,91,93,F1.7.2;
79,imei:865609029330026,tracker,18-01-2023 5.20,,F,52033,A,1255.2767,N,7739.7721,E,7.5,133,0,1,91,76,F1.7.2;
80,imei:865609029330026,tracker,18-01-2023 5.20,,F,52040,A,1255.2666,N,7739.7989,E,34.6,103,0,1,91,96,F1.7.2;
81,imei:865609029330026,tracker,18-01-2023 5.21,,F,52102,A,1255.2374,N,7739.8919,E,5.8,133,0,1,91,83,F1.7.2;
82,imei:865609029330026,tracker,18-01-2023 5.21,,F,52103,A,1255.2365,N,7739.8863,E,14.3,256,0,1,91,83,F1.7.2;
83,imei:865609029330026,tracker,18-01-2023 5.21,,F,52123,A,1255.2607,N,7739.782,E,37.3,286,0,1,90,83,F1.7.2;
84,imei:865609029330026,tracker,18-01-2023 5.22,,F,52211,A,1255.3531,N,7739.4574,E,56.4,292,0,1,91,86,F1.7.2;
85,imei:865609029330026,tracker,18-01-2023 5.22,,F,52259,A,1255.4488,N,7739.1075,E,62.1,281,0,1,91,90,F1.7.2;
86,imei:865609029330026,tracker,18-01-2023 5.23,,F,52326,A,1255.4437,N,7738.8629,E,54.5,251,0,1,91,86,F1.7.2;
87,imei:865609029330026,tracker,18-01-2023 5.23,,F,52348,A,1255.3669,N,7738.7472,E,53,217,0,1,91,73,F1.7.2;
88,imei:865609029330026,tracker,18-01-2023 5.24,,F,52402,A,1255.3393,N,7738.7147,E,0.2,286,0,1,91,83,F1.7.2;
89,imei:865609029330026,tracker,18-01-2023 5.24,,F,52403,A,1255.3393,N,7738.7144,E,0,119,0,1,91,96,F1.7.2;
90,imei:865609029330026,tracker,18-01-2023 5.24,,F,52405,A,1255.3398,N,7738.713,E,0.5,4,0,1,91,96,F1.7.2;
91,imei:865609029330026,tracker,18-01-2023 5.24,,F,52407,A,1255.3403,N,7738.7128,E,0.2,322,0,1,91,96,F1.7.2;
92,imei:865609029330026,tracker,18-01-2023 5.24,,F,52408,A,1255.3403,N,7738.7124,E,0.7,286,0,1,91,96,F1.7.2;
93,imei:865609029330026,tracker,18-01-2023 5.24,,F,52415,A,1255.3412,N,7738.7123,E,0.1,206,0,1,91,96,F1.7.2;
94,imei:865609029330026,tracker,18-01-2023 5.24,,F,52417,A,1255.3412,N,7738.7121,E,0.3,162,0,1,91,76,F1.7.2;
95,imei:865609029330026,tracker,18-01-2023 5.24,,F,52420,A,1255.3414,N,7738.7119,E,0,24,0,1,91,76,F1.7.2;
96,imei:865609029330026,tracker,18-01-2023 5.24,,F,52421,A,1255.3412,N,7738.7117,E,0.4,222,0,1,88,76,F1.7.2;
97,imei:865609029330026,tracker,18-01-2023 5.25,,F,52509,A,1255.2078,N,7738.5999,E,17.3,221,0,1,91,80,F1.7.2;
98,imei:865609029330026,tracker,18-01-2023 5.25,,F,52557,A,1255.0487,N,7738.4686,E,37.3,221,0,1,91,83,F1.7.2;
99,imei:865609029330026,tracker,18-01-2023 5.26,,F,52629,A,1254.9575,N,7738.345,E,39.8,251,0,1,91,93,F1.7.2;
100,imei:865609029330026,tracker,18-01-2023 5.26,,F,52645,A,1254.9445,N,7738.2983,E,14.3,212,0,1,91,96,F1.7.2;
101,imei:865609029330026,tracker,18-01-2023 5.26,,F,52655,A,1254.9106,N,7738.2939,E,21.5,182,0,1,91,80,F1.7.2;
102,imei:865609029330026,tracker,18-01-2023 5.27,,F,52714,A,1254.8698,N,7738.2923,E,10.9,114,0,1,88,100,F1.7.2;
103,imei:865609029330026,tracker,18-01-2023 5.27,,F,52731,A,1254.8667,N,7738.3423,E,5.6,78,0,1,91,70,F1.7.2;
104,imei:865609029330026,tracker,18-01-2023 5.28,,F,52819,A,1254.8673,N,7738.3486,E,0,78,0,1,91,93,F1.7.2;
105,imei:865609029330026,tracker,18-01-2023 5.28,,F,52841,A,1254.8678,N,7738.347,E,3,281,0,1,91,93,F1.7.2;
106,imei:865609029330026,tracker,18-01-2023 5.28,,F,52845,A,1254.8681,N,7738.3492,E,1.4,326,0,1,88,100,F1.7.2;
107,imei:865609029330026,tracker,18-01-2023 5.29,,F,52902,A,1254.8743,N,7738.3457,E,1.8,0,0,1,88,100,F1.7.2;
108,imei:865609029330026,tracker,18-01-2023 5.29,,F,52907,A,1254.8813,N,7738.3443,E,2,38,0,1,88,93,F1.7.2;
109,imei:865609029330026,tracker,18-01-2023 5.29,,F,52947,A,1254.8865,N,7738.3527,E,1.9,68,0,1,91,66,F1.7.2;
110,imei:865609029330026,tracker,00/00/00 00:00,,F,53035,V,1254.8855,N,7738.3557,E,0.3,83,0,1,91,70,F1.7.2;
111,imei:865609029330026,sleep,00/00/00 00:00,,F,53049,V,1254.8855,N,7738.3557,E,0.3,83,0,0,90,63,F1.7.2;
112,imei:865609029330026,tracker,00/00/00 00:00,,F,53137,V,1254.8855,N,7738.3557,E,0.3,83,0,1,91,66,F1.7.2;
113,imei:865609029330026,sleep,00/00/00 00:00,,F,53214,V,1254.8855,N,7738.3557,E,0.3,83,0,0,91,63,F1.7.2;
114,imei:865609029330026,sleep,00/00/00 00:00,,F,53814,V,1254.8855,N,7738.3557,E,0.3,83,0,0,90,63,F1.7.2;
115,imei:865609029330026,sleep,00/00/00 00:00,,F,54514,V,1254.8855,N,7738.3557,E,0.3,83,0,0,88,63,F1.7.2;
116,imei:865609029330026,sleep,00/00/00 00:00,,F,55214,V,1254.8855,N,7738.3557,E,0.3,83,0,0,88,60,F1.7.2;
117,imei:865609029330026,sleep,00/00/00 00:00,,F,55914,V,1254.8855,N,7738.3557,E,0.3,83,0,0,85,60,F1.7.2;
118,imei:865609029330026,sleep,00/00/00 00:00,,F,60714,V,1254.8855,N,7738.3557,E,0.3,83,0,0,85,56,F1.7.2;
119,imei:865609029330026,sleep,00/00/00 00:00,,F,61514,V,1254.8855,N,7738.3557,E,0.3,83,0,0,85,56,F1.7.2;
120,imei:865609029330026,sleep,00/00/00 00:00,,F,62314,V,1254.8855,N,7738.3557,E,0.3,83,0,0,85,60,F1.7.2;
121,imei:865609029330026,sleep,00/00/00 00:00,,F,63114,V,1254.8855,N,7738.3557,E,0.3,83,0,0,82,56,F1.7.2;
122,imei:865609029330026,sleep,00/00/00 00:00,,F,63914,V,1254.8855,N,7738.3557,E,0.3,83,0,0,82,56,F1.7.2;
123,imei:865609029330026,sleep,00/00/00 00:00,,F,64714,V,1254.8855,N,7738.3557,E,0.3,83,0,0,82,43,F1.7.2;
124,imei:865609029330026,sleep,00/00/00 00:00,,F,65514,V,1254.8855,N,7738.3557,E,0.3,83,0,0,81,60,F1.7.2;
125,imei:865609029330026,sleep,00/00/00 00:00,,F,70314,V,1254.8855,N,7738.3557,E,0.3,83,0,0,81,60,F1.7.2;
126,imei:865609029330026,sleep,00/00/00 00:00,,F,71114,V,1254.8855,N,7738.3557,E,0.3,83,0,0,81,53,F1.7.2;
127,imei:865609029330026,sleep,00/00/00 00:00,,F,71914,V,1254.8855,N,7738.3557,E,0.3,83,0,0,80,50,F1.7.2;
128,imei:865609029330026,sleep,00/00/00 00:00,,F,72814,V,1254.8855,N,7738.3557,E,0.3,83,0,0,80,33,F1.7.2;
129,imei:865609029330026,sleep,00/00/00 00:00,,F,73714,V,1254.8855,N,7738.3557,E,0.3,83,0,0,80,40,F1.7.2;
130,imei:865609029330026,sleep,00/00/00 00:00,,F,74614,V,1254.8855,N,7738.3557,E,0.3,83,0,0,80,46,F1.7.2;
131,imei:865609029330026,sleep,00/00/00 00:00,,F,75513,V,1254.8855,N,7738.3557,E,0.3,83,0,0,77,56,F1.7.2;
132,imei:865609029330026,sleep,00/00/00 00:00,,F,80413,V,1254.8855,N,7738.3557,E,0.3,83,0,0,74,53,F1.7.2;
133,imei:865609029330026,sleep,00/00/00 00:00,,F,81413,V,1254.8855,N,7738.3557,E,0.3,83,0,0,74,56,F1.7.2;
134,imei:865609029330026,tracker,00/00/00 00:00,,F,81535,V,1254.8855,N,7738.3557,E,0.3,83,0,1,74,63,F1.7.2;
135,imei:865609029330026,sleep,00/00/00 00:00,,F,81626,V,1254.8855,N,7738.3557,E,0.3,83,0,0,74,63,F1.7.2;
136,imei:865609029330026,sleep,00/00/00 00:00,,F,82626,V,1254.8855,N,7738.3557,E,0.3,83,0,0,74,63,F1.7.2;
137,imei:865609029330026,sleep,00/00/00 00:00,,F,83626,V,1254.8855,N,7738.3557,E,0.3,83,0,0,73,60,F1.7.2;
138,imei:865609029330026,sleep,00/00/00 00:00,,F,84626,V,1254.8855,N,7738.3557,E,0.3,83,0,0,71,66,F1.7.2;
139,imei:865609029330026,sleep,00/00/00 00:00,,F,85626,V,1254.8855,N,7738.3557,E,0.3,83,0,0,71,60,F1.7.2;
140,imei:865609029330026,sleep,00/00/00 00:00,,F,90626,V,1254.8855,N,7738.3557,E,0.3,83,0,0,71,63,F1.7.2;
141,imei:865609029330026,sleep,00/00/00 00:00,,F,91626,V,1254.8855,N,7738.3557,E,0.3,83,0,0,69,63,F1.7.2;
142,imei:865609029330026,sleep,00/00/00 00:00,,F,92726,V,1254.8855,N,7738.3557,E,0.3,83,0,0,69,50,F1.7.2;
143,imei:865609029330026,sleep,00/00/00 00:00,,F,93826,V,1254.8855,N,7738.3557,E,0.3,83,0,0,69,56,F1.7.2;
144,imei:865609029330026,sleep,00/00/00 00:00,,F,94927,V,1254.8855,N,7738.3557,E,0.3,83,0,0,69,53,F1.7.2;
145,imei:865609029330026,sleep,00/00/00 00:00,,F,100027,V,1254.8855,N,7738.3557,E,0.3,83,0,0,66,53,F1.7.2;
146,imei:865609029330026,sleep,00/00/00 00:00,,F,101127,V,1254.8855,N,7738.3557,E,0.3,83,0,0,66,60,F1.7.2;
147,imei:865609029330026,sleep,00/00/00 00:00,,F,102227,V,1254.8855,N,7738.3557,E,0.3,83,0,0,66,53,F1.7.2;
148,imei:865609029330026,sleep,00/00/00 00:00,,F,103327,V,1254.8855,N,7738.3557,E,0.3,83,0,0,63,60,F1.7.2;
149,imei:865609029330026,sleep,00/00/00 00:00,,F,104527,V,1254.8855,N,7738.3557,E,0.3,83,0,0,63,56,F1.7.2;
150,imei:865609029330026,sleep,00/00/00 00:00,,F,105727,V,1254.8855,N,7738.3557,E,0.3,83,0,0,63,50,F1.7.2;
151,imei:865609029330026,sleep,00/00/00 00:00,,F,110927,V,1254.8855,N,7738.3557,E,0.3,83,0,0,63,46,F1.7.2;
152,imei:865609029330026,sleep,00/00/00 00:00,,F,112127,V,1254.8855,N,7738.3557,E,0.3,83,0,0,60,40,F1.7.2;
153,imei:865609029330026,sleep,00/00/00 00:00,,F,113427,V,1254.8855,N,7738.3557,E,0.3,83,0,0,60,53,F1.7.2;
154,imei:865609029330026,sleep,00/00/00 00:00,,F,114727,V,1254.8855,N,7738.3557,E,0.3,83,0,0,60,60,F1.7.2;
155,imei:865609029330026,sleep,00/00/00 00:00,,F,120027,V,1254.8855,N,7738.3557,E,0.3,83,0,0,59,53,F1.7.2;
156,imei:865609029330026,sleep,00/00/00 00:00,,F,121327,V,1254.8855,N,7738.3557,E,0.3,83,0,0,59,60,F1.7.2;
157,imei:865609029330026,sleep,00/00/00 00:00,,F,122627,V,1254.8855,N,7738.3557,E,0.3,83,0,0,57,56,F1.7.2;
158,imei:865609029330026,sleep,18-03-2005 18.34,,F,183440,A,1255.5508,N,7739.8829,E,0.5,45,917.3,0,85,60,F1.7.3;
159,imei:865609029330026,sleep,18-03-2005 18.42,,F,184241,A,1255.5521,N,7739.8848,E,2,169,914.4,0,85,63,F1.7.3;
160,imei:865609029330026,sleep,18-03-2005 18.50,,F,185041,A,1255.551,N,7739.8845,E,0.3,336,912.5,0,82,70,F1.7.3;
161,imei:865609029330026,sleep,18-03-2005 18.58,,F,185841,A,1255.5527,N,7739.8808,E,0.2,219,911.7,0,82,70,F1.7.3;
162,imei:865609029330026,sleep,18-03-2005 19.06,,F,190641,A,1255.5535,N,7739.8812,E,0.5,209,910.8,0,81,66,F1.7.3;
163,imei:865609029330026,sleep,18-03-2005 19.14,,F,191442,A,1255.5546,N,7739.8804,E,0.2,322,910.9,0,81,70,F1.7.3;
164,imei:865609029330026,sleep,18-03-2005 19.22,,F,192242,A,1255.5529,N,7739.8866,E,0.5,54,910.3,0,81,63,F1.7.3;
165,imei:865609029330026,sleep,18-03-2005 19.30,,F,193042,A,1255.5497,N,7739.8802,E,0.7,127,909.7,0,81,63,F1.7.3;
166,imei:865609029330026,sleep,18-03-2005 19.38,,F,193843,A,1255.5494,N,7739.889,E,0.4,260,910.2,0,80,63,F1.7.3;
167,imei:865609029330026,sleep,18-03-2005 19.47,,F,194743,A,1255.5504,N,7739.8875,E,0.5,155,910.5,0,80,70,F1.7.3;
168,imei:865609029330026,sleep,18-03-2005 19.56,,F,195643,A,1255.5549,N,7739.8855,E,0,208,909.8,0,80,66,F1.7.3;
169,imei:865609029330026,sleep,18-03-2005 20.05,,F,200544,A,1255.5565,N,7739.8846,E,0.2,221,910.8,0,80,63,F1.7.3;
170,imei:865609029330026,sleep,18-03-2005 20.14,,F,201444,A,1255.557,N,7739.8836,E,0.5,109,910.5,0,77,70,F1.7.3;
171,imei:865609029330026,sleep,18-03-2005 20.23,,F,202344,A,1255.5546,N,7739.889,E,0.4,265,910,0,74,66,F1.7.3;
172,imei:865609029330026,sleep,18-03-2005 20.33,,F,203345,A,1255.5527,N,7739.8983,E,0.7,104,909.7,0,74,63,F1.7.3;
173,imei:865609029330026,sleep,18-03-2005 20.43,,F,204345,A,1255.5583,N,7739.89,E,0.6,101,909.3,0,74,70,F1.7.3;
174,imei:865609029330026,sleep,18-03-2005 20.53,,F,205345,A,1255.5557,N,7739.8845,E,2.2,124,910.2,0,73,66,F1.7.3;
175,imei:865609029330026,sleep,18-03-2005 21.03,,F,210345,A,1255.5532,N,7739.8859,E,0.1,275,910,0,71,66,F1.7.3;
176,imei:865609029330026,sleep,18-03-2005 21.13,,F,211345,A,1255.5508,N,7739.8842,E,0.3,315,908.7,0,71,63,F1.7.3;
177,imei:865609029330026,sleep,18-03-2005 21.23,,F,212346,A,1255.5483,N,7739.8873,E,0.2,178,910,0,71,60,F1.7.3;
178,imei:865609029330026,sleep,18-03-2005 21.33,,F,213346,A,1255.5523,N,7739.8833,E,0.2,345,916.7,0,69,63,F1.7.3;
179,imei:865609029330026,sleep,18-03-2005 21.44,,F,214446,A,1255.5551,N,7739.8804,E,0.9,283,917.8,0,69,60,F1.7.3;
180,imei:865609029330026,sleep,18-03-2005 21.55,,F,215547,A,1255.5523,N,7739.8802,E,0.3,80,917.1,0,69,63,F1.7.3;
181,imei:865609029330026,sleep,18-03-2005 22.06,,F,220647,A,1255.5519,N,7739.8853,E,0.3,184,916.7,0,69,70,F1.7.3;
182,imei:865609029330026,sleep,18-03-2005 22.17,,F,221747,A,1255.5521,N,7739.8906,E,0.3,156,916.8,0,66,70,F1.7.3;
183,imei:865609029330026,sleep,18-03-2005 22.28,,F,222848,A,1255.5535,N,7739.8876,E,0.8,222,916.3,0,66,70,F1.7.3;
184,imei:865609029330026,sleep,18-03-2005 22.39,,F,223948,A,1255.5546,N,7739.8842,E,0,82,916.9,0,66,70,F1.7.3;
185,imei:865609029330026,sleep,18-03-2005 22.50,,F,225048,A,1255.5562,N,7739.8832,E,0.3,78,917,0,66,66,F1.7.3;
186,imei:865609029330026,sleep,18-03-2005 23.01,,F,230149,A,1255.5472,N,7739.8833,E,0.2,101,917.4,0,63,66,F1.7.3;
187,imei:865609029330026,sleep,18-03-2005 23.13,,F,231349,A,1255.5537,N,7739.8825,E,0.2,151,917.6,0,63,60,F1.7.3;
188,imei:865609029330026,sleep,18-03-2005 23.25,,F,232549,A,1255.5551,N,7739.8833,E,0.1,85,918.6,0,63,70,F1.7.3;
189,imei:865609029330026,sleep,18-03-2005 23.37,,F,233750,A,1255.5562,N,7739.8816,E,0.8,183,917.6,0,63,63,F1.7.3;
190,imei:865609029330026,sleep,18-03-2005 23.49,,F,234950,A,1255.5535,N,7739.8818,E,0.8,86,917.4,0,60,70,F1.7.3;
191,imei:865609029330026,sleep,18-03-2006 0.02,,F,250,A,1255.5494,N,7739.8798,E,0.3,20,917.4,0,60,66,F1.7.3;
192,imei:865609029330026,sleep,18-03-2006 0.15,,F,1550,A,1255.5494,N,7739.8808,E,0.2,139,916.7,0,60,66,F1.7.3;
